Rank,Score,Autonomous Coding Skills,Driver Skills,Team Number,Team Name,Organization,Event Region
376,201,0,201,9933E,Cybot-Eclipse,Cybot Robotics Academy,British Columbia (BC)
377,201,0,201,13722X,Dippin' Bots,The Frazer School - Elementary,Florida - North/Central
378,201,0,201,8858A,史迪仔,北京市三帆中学附属小学,North China
379,201,0,201,81020C,北京市八一学校,Beijing Bayi School,North China
380,201,0,201,9399E,9399E,器宇智能机器人,East China
381,201,0,201,8685V,Ace,深圳香港培侨书院龙华信义学校,South China
382,201,0,201,8186A,育翔小学,北京育翔小学,North China
383,201,0,201,95985A,95985A,北京佰立森教育科技有限公司,North China
384,201,0,201,669B,苏州工业园区景城学校 B队,苏州工业园区景城学校,East China
385,200,73,127,20868A,ECNUXP-A,Xiamen ENCU Xiping Bilingual School,South China
386,200,66,134,5550A,Monesters,STEM AI,Egypt
387,200,19,181,25702A,25702A,沧州史塔克,North China
388,198,28,170,83089A,Chen Jinglun Middle School Poly Primary School,Chen Jinglun Middle School,North China
389,198,88,110,83861E,EDS - Happy robot,Edison An Khánh,Vietnam
390,198,81,117,42403C,Aurora 4th grade,Aurora Elementary School,Indiana - Region 3 - South
391,196,84,112,1545M,Wabash Apache Robotics,WABASH MIDDLE/HIGH SCHOOL,Indiana - Region 1 - North
392,196,36,160,10525D,Dunkin' Ducks,FOREST GLEN ELEMENTARY SCHOOL,Indiana - Region 2 - Central
393,196,21,175,81941A,Dynamic Destroyers,NA,North Carolina
394,195,102,93,80088U,DFD-U,Dongfengdong Road Primary School,South China
395,195,51,144,9965X,ProjectX,AOE Robotics Club,Maryland
396,194,2,192,21350K,VEXecution,Trinity Grammar Preparatory School,Australia
397,194,34,160,43277A,Gear Bots,Gear Bots,Arizona
398,194,4,190,63041A,CWWPS(A),GCCITKD Cheong Wong Wai Primary School,Hong Kong
399,193,36,157,76019V,V&V FSchoolCG,Tiểu học & THCS FPT Cầu Giấy,Vietnam
400,193,18,175,826A,Snake Byte,RALPH PARR ELEMENTARY SCHOOL,Texas - Region 3
401,193,0,193,7799B,HaMeng,上海市东方小学,East China
402,192,75,117,46658A,Lightning Vortex,Artarmon Public School,Australia
403,192,73,119,9399A,9399A,器宇智能机器人,East China
404,192,7,185,2166A,Magikid Caliber,Magikid Robotics Lab Frisco,Texas - Region 5
405,191,84,107,8996B,8996B,上海浦东德威外籍人员子女学校,East China
406,191,0,191,60600B,创亿探索二队,创亿探索科技中心,Middle China
407,191,9,182,6655Z,Botcrafter,Dr.player robotics lab Taipei,Chinese Taipei
408,191,2,189,67890B,VEX PUTAI,南投縣私立普台國民小學,Chinese Taipei
409,191,0,191,98500X,Justice League,SHENZHEN HONGKONG PUI KIU COLLEGE LONGHUA XINYI SCHOOL,South China
410,190,0,190,18000A,Carson STEAM,CARSON STREET ELEMENTARY,California - South
411,190,0,190,9399C,9399C,器宇智能机器人,East China
412,190,0,190,5521D,园岭曙光,园岭小学,South China
413,190,0,190,11806A,NSPS winner,桃園市南勢國民小學,Chinese Taipei
414,189,84,105,838X,Xterminators,Blaze Robotics Academy,Washington
415,189,62,127,71888C,远翊宸锋,北京市海淀区七一小学,North China
416,189,62,127,41016A,Ctrl-Alt-Defeat,Boys and Girls Club of Boone County,Indiana - Region 2 - Central
417,189,34,155,5866D,TRIAL & ERROR,LING TONG EDU,California - South
418,189,0,189,9955D,Cybot-Voyager,Cybot,British Columbia (BC)
419,188,72,116,2633B,CODE-A-ROBOT,CODE-A-ROBOT,Florida - South
420,188,62,126,1100G,Gear Girls,GRASSY LAKE ELEMENTARY SCHOOL,Florida - North/Central
421,188,53,135,812A,Boba Bots,I W AND ELEANOR HYDE ELEMENTARY SCHOOL,Texas - Region 3
422,187,99,88,20234J,小洛特聯隊1,SLR小洛特機器人,Chinese Taipei
423,187,88,99,20258A,中国人民大学附属中学实验小学,中国人民大学附属中学实验小学,North China
424,187,88,99,36688A,BASIS Bilingual School Shenzhen,BASIS Bilingual School Shenzhen,South China
425,187,64,123,55580D,Password Incorrect ,Denla British School,Thailand
426,187,43,144,6656F,Code Architects,Xavier School,Philippines
427,186,2,184,2613E,Circuit Breakers,The Innovation Story,India
428,186,56,130,34035J,IOROBOT JR,İbrahim Özaydın Mesleki ve Teknik Anadolu Lisesi,Türkiye
429,186,54,132,25039A,Lightning McBots,Robots Rock,Utah
430,185,14,171,7755N,VEX-XG7755,上海筑桥实验小学,East China
431,185,91,94,4613C,Barker Greenbacks,Barker College - K-12 School,Australia
432,185,17,168,10142A,Green Tigers Team A,MANOA ELEMENTARY SCHOOL,Hawaii
433,185,21,164,55550B,Avengers AI Two,Scholars of Carolina,North Carolina
434,185,0,185,81777V,Timbobs,Magikid Cupertino Robotics Lab,California - North
435,184,64,120,37401A,Fire Bots,iCode,Virginia
436,184,28,156,99396M,The Mighty Littlefoot,Hartselle Robotics Club - Morgan County 4H,Alabama
437,184,47,137,81777S,Samosa,Magikid Cupertino Robotics Lab,California - North
438,184,26,158,8672A,8672A,CHINGSHIN ACADEMY 高年級組,Chinese Taipei
439,184,17,167,20058C,EagleTec,CORAL ACADEMY OF SCIENCE LAS VEGAS  - Cadence,Nevada
440,184,2,182,8866Z,8866Z,The Third Affiliated Experimental School of Shanghai Normal University,East China
441,183,72,111,92633B,WYRED:  BelleBots,WYRED Robotics,Indiana - Region 1 - North
442,183,4,179,23566A,星创编程,星创编程,South China
443,183,4,179,99889B,RoboPlanet,Cuddle STEM Center,Chinese Taipei
444,182,84,98,56166A,45 Blaze AI,Wonder Mentorship Inc.,California - North
445,182,0,182,6333G,GX-The Goated Team,Gaiax,Singapore
446,182,62,120,60360E,Cactus Farmers,Heritage Elementary School,California - South
447,182,14,168,57986J,SpaceX,Sydney School (SISS),Vietnam
448,182,0,182,891A,昆山萝卜丸2队,昆山市城北中心小学,East China
449,181,43,138,55580F,Banana Bots 2.0,Denla British School,Thailand
450,181,7,174,14012H,Vexceeded,PINECREST LAKES MIDDLE/HIGH ACADEMY,Florida - North/Central
451,180,2,178,16894B,Dromore NS 2,Dromore NS,Ireland
452,180,0,180,68618A,BigBrain,DaYue,East China
453,180,0,180,16286P,Tiểu học Vạn Phúc,Trường Tiểu học Vạn Phúc,Vietnam
454,179,84,95,4945D,Eaglebots: Pin Blasters,GRAND RAPIDS CHRISTIAN,Michigan
455,179,73,106,29032E,Summit Seekers ES,Endeavor Microschool,Tennessee
456,179,63,116,295U,RoboMonkeys,Placer Robotics (PART),California - North
457,179,24,155,28731A,28731A,foshan,South China
458,179,12,167,77115A,马里奥利奥,北京化工大学附属中学小学部,North China
459,179,9,170,8181K,Drive4ward,MANDARIN IMMERSION MAGNET SCHOOL,Texas - Region 3
460,179,0,179,2278K,✧(๑•̀ㅂ•́)و✧EACH✧//Surpass//,Shenzhen Science Museum EACH-ROBOTICS,South China
461,179,0,179,4250X,Bytesize,MuYv Robotics Consulting,New Zealand
462,178,84,94,22051A,Speeders,Robospark,Washington
463,178,80,98,93673C,ShamrockBot Hunters,LUDINGTON AREA CATHOLIC SCHOOL,Michigan
464,178,49,129,90222B,Straley Giggle Bots,Straley Elementary School,West Virginia
465,178,7,171,6611E,Builderspizzaplace,Dr.player robotics lab Zhubei,Chinese Taipei
466,178,36,142,30707B,Flying Squirrels,Chickamauga Elementary School,Georgia
467,178,26,152,31837K,BuzzTech,Norma Butler Bossard Elementary School,Florida - South
468,178,14,164,66799J,AST-onishing J,American School in Taichung,Chinese Taipei
469,177,70,107,6333E,GX-IDK,Gaiax,Singapore
470,177,60,117,349W,Liv·e: Stitch & Angel,LIV Koleji,Türkiye
471,177,58,119,99174A,St. Mary's National School,St. Marys National School,Ireland
472,177,55,122,12414B,Technology Prodigies 2.0,KANOELANI ELEMENTARY SCHOOL,Hawaii
473,177,13,164,8181N,The Black Box,MANDARIN IMMERSION MAGNET SCHOOL,Texas - Region 3
474,177,4,173,82018B,EDS - POLAR BEAR,Edison Schools,Vietnam
475,176,34,142,7134A,The Ramen Empire,BlueJay Robotics,Maryland
476,176,2,174,12059G,Robo Rams,St. Luke Catholic School,Indiana - Region 2 - Central
477,176,17,159,96712B,CANEFIRES,Haleiwa Elementary School,Hawaii
478,176,34,142,27093A,SkyWalker,Peking University Elementary School,North China
479,175,65,110,10904B,RoboRavens White,IRVINGTON COMMUNITY SCHOOL,Indiana - Region 2 - Central
480,175,81,94,53919A,Spartan Robotics A,BETHLEHEM EVANGELICAL LUTHERAN SCHOOL,Wisconsin
481,175,63,112,83012A,Tech Sirens,Tech Sirens,Virginia
482,175,56,119,15034C,BadgerBOTS C,BINFORD ELEMENTARY SCHOOL,Indiana - Region 3 - South
483,175,56,119,1064A,Tech Titans,STEMbotics,United Kingdom
484,175,20,155,22566C,Nord Anda School,"Nordanda School, Panyu District, Guangzhou",South China
485,175,0,175,3668B,Sentient Robotics Club - Big Mac,Macau Artificial Intelligence Education Center,Macau
486,175,7,168,48251K,Sapphire K,SapphireLab,South Korea
487,175,2,173,26989C,TPCS RoboKnights C,TRADERS POINT CHRISTIAN ACADEMY,Indiana - Region 2 - Central
488,175,0,175,98626A,Qin Shi Huang rode the polar bear team, 广州市越秀区爱酷叮教育培训中心有限公司,South China
489,174,64,110,52068B,52068B,北京乐高创领教育科技有限公司,North China
490,174,64,110,25425B,Knuckle Sandwich - Chaos,"Knuckle Sandwich Robotics, Inc.",Alabama
491,174,62,112,770H,Re-imagine Robotics Hyper,Re-imagine Robotics,Georgia
492,174,58,116,2014W,Wild Robot,Sandpiper School,California - North
493,174,54,120,34362H,Natural Disaster,ST JOSEPH SCHOOL,Wisconsin
494,173,86,87,25073A,Snapdragons,Amelang Home,Colorado
495,173,58,115,55909D,Tadpole Bots,SACRED HEART SCHOOL,Minnesota
496,173,56,117,5004V,MechaCoding V,MechaCoding Academy,South Korea
497,172,72,100,295S,S.M.A.R.T.,Placer Robotics (PART),California - North
498,172,62,110,68795C,CR_Chula_ES01,ClickRobot Engineer Learning Center,Thailand
499,171,47,124,220C,Censored,Western Mechatronics,Alberta/Saskatchewan
500,171,34,137,62569Z,VSP-XXX,VANKE SCHOOL PUDONG,East China
501,171,7,164,77710Z,Bob the Builder,Private Team,North Carolina
502,171,9,162,53976A,Tara Oaks Tigerbots,TARA OAKS ELEMENTARY SCHOOL,Tennessee
503,171,7,164,10459A,The TEST Pilots,Skiles Test Elementary School,Indiana - Region 2 - Central
504,170,56,114,478F,Elevate-Blitz,Elevate Tech,Washington
505,170,21,149,138E,QRCA - Magenta,AAA Training and Tuition (RTO 46396),Australia
506,170,10,160,220X,Phoenix,Western Mechatronics,Alberta/Saskatchewan
507,170,2,168,12609A,Zhongguancun NO.1 A中关村一小,Zhongguancun No.1 Primary School,North China
508,170,2,168,20159A,ZHM机器人实验室,ZHM机器人实验室,East China
509,169,69,100,4613B,Barker Greybacks,Barker College - K-12 School,Australia
510,168,68,100,6741F,Firebirds,Firebird Robotics,North Carolina
511,168,46,122,64891A,NXBot Prime,NXBot,Georgia
512,168,40,128,26566G,ISA Science City International School,ISA Science City International School,West China
513,168,29,139,7788A,北京市海淀区永泰小学,北京市海淀区永泰小学,North China
514,168,4,164,12368C,Falcon Bots,Emirates Science Club,United Arab Emirates
515,168,0,168,20267E,Rising Star,The Beyond Coding,South Korea
516,168,0,168,11806B,NSPS No.1,桃園市南勢國民小學,Chinese Taipei
517,166,80,86,38792A,Sigma,THE R CHILD STEAM Center,New Jersey
518,166,74,92,7919A,Tritt United Robotics Club,Tritt Elementary School,Georgia
519,166,73,93,10692E,Probots,GEORGE W. WHITLOW ELEMENTARY,Georgia
520,166,64,102,95849B,Wa-Nee: Pantherbots B,WaNee: Pantherbots,Indiana - Region 1 - North
521,166,54,112,279G,Trailblazers,Trailblazer Robotics Juniors,Georgia
522,166,48,118,59713C,The 5 Cs,MERCER ELEMENTARY,West Virginia
523,166,22,144,17023A,TSJ RobotStars,Happy Robot,Chinese Taipei
524,165,74,91,6632A,Titanium Penguins,Prairie Ridge Elementary School,Colorado
525,165,46,119,78682C,DynamicDolphinBots 78682C,DAVES CREEK ELEMENTARY SCHOOL,Georgia
526,165,0,165,2910A,兰州市城关区水车园小学,"Shuicheyuan Primary School, Chengguan District, Lanzhou",West China
527,164,80,84,295E,Bot Jockey,Placer Robotics (PART),California - North
528,164,36,128,20253A,Golden Gears,Kenar Patel,South Carolina
529,163,60,103,6634B,JAWS - CCS2,Chattanooga Christian School,Tennessee
530,163,53,110,80088T,DFD-T,Dongfengdong Road Primary School,South China
531,163,14,149,59713E,The Plank Walkers,MERCER ELEMENTARY,West Virginia
532,163,17,146,95111E,机器人,Beijing Haidian District Renbei Experimental School,North China
533,163,17,146,1100A,Lazer Pins,GRASSY LAKE ELEMENTARY SCHOOL,Florida - North/Central
534,163,0,163,27849B,猛龙队,恒知少儿编程,South China
535,162,38,124,801A,Tech Turtles A,ARMAND BAYOU ELEMENTARY SCHOOL,Texas - Region 3
536,162,36,126,4051B,Midway’s Techno Bots,MIDWAY ELEMENTARY SCHOOL,Georgia
537,162,0,162,70632G,Robo-Toppers II,Needmore Elementary,Indiana - Region 3 - South
538,161,43,118,3321A,Robo-Pioneers A,Virginia Shuman Young Elementary School,Florida - South
539,160,80,80,50316F,The Obi-Wan Kenobots,COMMODORE JOHN ROGERS ELEMENTARY/MIDDLE,Maryland
540,160,28,132,22524M,Juicy Musubi,Island Robotics,Hawaii
541,160,18,142,21566G,星创编程,星创编程,South China
542,160,2,158,6966E,BASIS International School Guangzhou,BASIS International School Guangzhou,South China
543,159,73,86,43444N,Northview Vex Vikes,NORTHVIEW ELEMENTARY SCHOOL,Indiana - Region 1 - North
544,159,40,119,199R,Rams Robotics,Reinhardt Elementary School,Texas - Region 2
545,159,24,135,838D,Dynamic Dinosaurs,Blaze Robotics Academy,Washington
546,159,0,159,17947B,Robo Sapiens,Homegrown,Texas - Region 3
547,158,65,93,19866A,Galaxy Phoenix,Nysmith School (Private),Virginia
548,158,46,112,37064D,Creekside Otter Robotics,CREEKSIDE ELEMENTARY SCHOOL,Tennessee
549,158,26,132,838N,Nameless Champions,Blaze Robotics Academy,Washington
550,158,20,138,9852W,PSP Nucleus,Srinakharinwirot University : Prasarnmit Demonstration School (Elementary),Thailand
551,158,18,140,428J,North Loop Jaguars2,NORTH LOOP ELEMENTARY SCHOOL,Texas - Region 1
552,158,4,154,6040X,深圳市龙华区万科双语学校,深圳市龙华区万科双语学校,South China
553,157,34,123,27093H,erudition,Peking University Elementary School,North China
554,156,74,82,10904A,RoboRavens Red,IRVINGTON COMMUNITY SCHOOL,Indiana - Region 2 - Central
555,156,64,92,91416X,Gearheadx,Wahoo Robotics (Saunders Catholic Schools & Wahoo Public Schools),Nebraska
556,156,64,92,91998G,The Glitch,NorthernPlayalisticRobotics,Michigan
557,156,44,112,92981A,CyberStorms ,CyberStorms ,North Carolina
558,156,42,114,18823A,Mt Auburn Lady Mustangs,MOUNT AUBURN STEAM ACADEMY,Texas - Region 2
559,156,7,149,49958A,What's a Robot?,HEALTH/WELLNESS ENVI MAGNET,Arkansas
560,156,19,137,2999K,PB&J,CodeLab,Thailand
561,156,18,138,1729V,Victorious,International Robotics Academy,Kazakhstan
562,156,7,149,22222C,BABY SHARKS,LogandSteam,South Korea
563,155,59,96,8679B,8679B,CHINGSHIN ACADEMY 中年級組,Chinese Taipei
564,155,53,102,60006P,Robo Pixels,Loudoun Valley Robotics,Virginia
565,155,46,109,74866A,Cosmic Bots,B MCDANIEL INT,Texas - Region 5
566,154,42,112,6210M,HCS: Megalodons,HERITAGE CHRISTIAN SCHOOL,Indiana - Region 2 - Central
567,154,9,145,2706C,WYJJ Team C,TWGHs Wong Yee Jar Jat Memorial Primary School,Hong Kong
568,154,0,154,1131B,1131B,Shenzhen Shenjing Workshop,South China
569,153,0,153,33933H,knowledge,chaonengshiyanshi,West China
570,153,54,99,23136B,Popcorn Popping Crew,Pink & Blue,Virginia
571,153,18,135,18345B,天工造物,沈阳VEX学苑,North China
572,153,7,146,75035A,Quantum Bots,"Magikid Robotics Lab - Frisco, TX",Texas - Region 5
573,153,2,151,32184A,Super Team,Hitahouse,Vietnam
574,152,56,96,98854E,Electric Eagles,Bright Field Middle School,Arkansas
575,152,52,100,40047A,STEAMPUNKS, Private / Independent Team,Florida - South
576,152,27,125,6854A,Star Armada,Beijing,North China
577,152,18,134,74756F,Mythri-CodeZilla,Mythri Stem Academy,Nevada
578,152,17,135,63388A,乌兰浩特市第八中学,乌兰浩特市第八中学,North China
579,152,17,135,18889A,Pickle-Cheese,Team Pickle-Cheese,Texas - Region 5
580,152,0,152,60600A,创亿探索一队,创亿探索科技中心,Middle China
581,152,0,152,51666W,图灵队,"Jiangsu youvector Technology Co., Ltd",East China
582,152,0,152,8928A,Mhero,Mhero,Ontario
583,151,58,93,21350G,Chill Robots,Trinity Grammar Preparatory School,Australia
584,151,55,96,95849E,Wa-Nee: Pantherbots E,WaNee: Pantherbots E,Indiana - Region 1 - North
585,151,37,114,66990A,Pooma,Dr. Player Robotic Lab . Taichung,Chinese Taipei
586,151,34,117,55550A,Avengers AI One,Scholars of Carolina,North Carolina
587,151,30,121,2668B,BASIS Bots,BASIS Bots,Texas - Region 4
588,151,24,127,8766C,8766C,厦门智慧创品科技培训有限公司,South China
589,151,7,144,9852X,PSP THUNDER X,Srinakharinwirot University : Prasarnmit Demonstration School (Elementary),Thailand
590,151,9,142,7671S,Morax,WT Robotics Workshop,Middle China
591,151,0,151,6576C,Clubstep,GATEWAY SCIENCE ACADEMY OF ST. LOUIS - SMILEY,Missouri
592,150,64,86,821C,The Angry Sushi Rolls,ED H WHITE ELEMENTARY SCHOOL,Texas - Region 3
593,150,64,86,92633C,WYRED:  ThunderBots,WYRED Robotics,Indiana - Region 1 - North
594,150,62,88,27112F,陈分利泽VIQRC二队,Branch Of Beijing Chenjinglun Middle School,North China
